8.06E+01,8.06E+01,7.27E+01,8.16E+01,7.99E+01
9.77E+01,9.62E+01,9.81E+01,9.81E+01,9.86E+01
9.84E+01,9.57E+01,9.76E+01,9.36E+01,9.55E+01
6.75E+01,6.70E+01,6.84E+01,7.01E+01,6.70E+01
9.69E+01,9.60E+01,9.53E+01,9.46E+01,9.53E+01
8.28E+01,8.52E+01,8.40E+01,8.16E+01,8.07E+01
9.01E+01,8.92E+01,9.22E+01,8.32E+01,8.56E+01
8.94E+01,8.87E+01,8.70E+01,8.98E+01,9.01E+01
8.30E+01,7.54E+01,7.74E+01,8.30E+01,7.78E+01
8.85E+01,8.82E+01,8.94E+01,8.79E+01,8.73E+01
6.74E+01,6.93E+01,6.67E+01,6.55E+01,6.79E+01
7.38E+01,7.12E+01,7.24E+01,6.29E+01,4.97E+01
9.51E+01,9.13E+01,9.34E+01,9.38E+01,9.38E+01
8.37E+01,9.13E+01,8.85E+01,9.03E+01,8.26E+01
9.34E+01,8.89E+01,6.41E+01,9.39E+01,7.10E+01
9.81E+01,9.93E+01,9.84E+01,9.84E+01,8.75E+01
