8.91E+01,8.80E+01,9.10E+01,9.17E+01,8.99E+01
9.93E+01,9.81E+01,9.74E+01,9.69E+01,9.86E+01
9.84E+01,9.88E+01,9.91E+01,9.88E+01,9.93E+01
7.85E+01,8.06E+01,7.62E+01,7.88E+01,8.04E+01
9.84E+01,9.77E+01,9.71E+01,9.50E+01,9.83E+01
8.98E+01,9.13E+01,9.20E+01,9.15E+01,8.99E+01
9.32E+01,9.38E+01,9.57E+01,9.34E+01,9.64E+01
9.58E+01,9.53E+01,9.43E+01,9.48E+01,9.74E+01
8.73E+01,8.73E+01,8.89E+01,8.65E+01,8.58E+01
9.36E+01,9.53E+01,9.34E+01,9.32E+01,9.32E+01
7.66E+01,8.09E+01,7.87E+01,8.18E+01,7.71E+01
8.79E+01,8.66E+01,8.85E+01,8.46E+01,8.54E+01
9.69E+01,9.53E+01,9.71E+01,9.65E+01,9.53E+01
9.69E+01,9.71E+01,9.84E+01,9.41E+01,9.72E+01
9.71E+01,9.74E+01,9.67E+01,9.72E+01,9.65E+01
9.95E+01,1.00E+02,9.93E+01,9.93E+01,9.97E+01
